net,length_um
d2.r_reg\[54\],18.655
d2.r_reg\[78\],18.645
_0053_,18.64
_0740_,18.64
net13,18.62
_0708_,18.56
d2.r_reg\[94\],18.535
_0738_,18.53
_0451_,18.495
d2.r_reg\[45\],18.495
_0660_,18.375
d2.r_reg\[93\],18.36
d2.t_load\[52\],18.265
_0970_,18.22
d2.r_reg\[64\],18.215
_0973_,18.195
_0797_,18.16
_0826_,18.155
d2.r_reg\[12\],18.15
d2.r_reg\[47\],18.115
_0649_,18.02
d2.t_load\[42\],18.015
_0289_,18
d2.r_reg\[70\],17.95
_0011_,17.94
_0387_,17.855
_0119_,17.83
_0824_,17.83
_0388_,17.805
_0658_,17.795
d2.r_reg\[59\],17.795
d2.t_load\[55\],17.775
_0273_,17.76
d2.r_reg\[21\],17.615
d2.r_reg\[61\],17.425
_0144_,17.41
d2.r_reg\[16\],17.315
d2.r_reg\[62\],17.31
_0808_,17.3
_0671_,17.235
d2.r_reg\[41\],17.23
_0065_,17.07
d2.r_reg\[2\],17.055
_0972_,17.035
_0377_,17.015
_0226_,16.985
d2.r_reg\[53\],16.955
d2.r_reg\[77\],16.955
d2.r_reg\[8\],16.94
_0485_,16.84
_0831_,16.825
_0919_,16.78
d2.r_reg\[43\],16.715
d2.r_reg\[18\],16.69
_0037_,16.685
_0910_,16.635
_0612_,16.515
_0781_,16.49
_0905_,16.395
_0799_,16.38
d2.r_reg\[11\],16.15
corner[0],16.11
_0720_,16.08
_0865_,16.08
_0663_,16.015
_0830_,15.975
_0743_,15.895
vbias2[2],15.86
d2.r_reg\[89\],15.715
d2.r_reg\[10\],15.68
d2.r_reg\[58\],15.625
dac[4],15.62
_0054_,15.56
d2.r_reg\[91\],15.56
d2.r_reg\[4\],15.505
_0453_,15.435
_0300_,15.355
d2.t_load\[34\],15.355
d2.r_reg\[37\],15.215
d2.r_reg\[39\],15.06
_0673_,15.015
d2.r_reg\[49\],14.97
_0734_,14.96
vbias2[3],14.94
d2.r_reg\[19\],14.915
_0821_,14.87
_0287_,14.795
_0766_,14.795
d2.t_load\[56\],14.775
_0812_,14.725
d2.r_reg\[74\],14.71
_0616_,14.695
_0804_,14.67
_0350_,14.595
_0464_,14.54
d2.t_load\[43\],14.52
_0507_,14.42
_0481_,14.395
_0515_,14.36
_0454_,14.295
d2.t_load\[51\],14.285
_0297_,14.215
_0120_,14.15
d2.r_reg\[67\],14.13
_0278_,14.055
_0465_,13.96
d2.r_reg\[66\],13.915
d2.r_reg\[38\],13.89
d2.r_reg\[42\],13.855
_0977_,13.755
_0494_,13.66
_0863_,13.615
_0038_,13.61
d2.t_load\[35\],13.57
_0607_,13.555
_0886_,13.55
_0984_,13.4
d2.r_reg\[88\],13.35
_0509_,13.32
_0500_,13.255
_0580_,13.24
_0550_,13.175
_0918_,13.175
_0796_,13.155
_0922_,13.04
_0061_,13.02
_0370_,12.995
_0356_,12.92
d5.fll_core.counter2.count\[7\],12.92
vbias3[7],12.905
_0006_,12.865
dac[6],12.86
_0174_,12.825
_0491_,12.795
_0748_,12.76
_0978_,12.715
_0133_,12.7
_0964_,12.635
_0731_,12.62
_0897_,12.62
_0529_,12.575
_0847_,12.555
_0818_,12.55
_0735_,12.54
_0114_,12.5
_0633_,12.495
_0840_,12.49
_0009_,12.455
_0484_,12.455
_0558_,12.4
_0142_,12.33
