net,length_um
_0746_,13.35
_0031_,13.345
_0764_,13.34
_0474_,13.33
_0271_,13.295
_0939_,13.255
_0227_,13.2
_0619_,13.175
d2.r_reg\[50\],13.115
_0123_,13.105
_0874_,13.035
_0833_,13
_0485_,12.88
_0551_,12.84
_0860_,12.795
d2.r_reg\[12\],12.695
_0016_,12.575
_0488_,12.56
_0121_,12.51
_0537_,12.5
_0301_,12.495
d2.t_load\[43\],12.45
_0296_,12.4
_0039_,12.385
_0745_,12.335
_0922_,12.31
_0287_,12.3
_0559_,12.295
_0651_,12.255
_0578_,12.235
_0945_,12.23
_0834_,12.155
_0128_,12.11
read,12.06
net5,12.035
_0129_,12.005
d2.r_reg\[3\],11.965
_0155_,11.96
d5.fll_core.counter2.count\[5\],11.96
_0758_,11.955
_0595_,11.94
_0495_,11.93
_0102_,11.89
_0908_,11.855
_0865_,11.835
_0550_,11.795
_0880_,11.66
dac[6],11.655
_0972_,11.64
_0624_,11.575
d2.r_reg\[43\],11.55
_0603_,11.535
_0944_,11.5
dac[3],11.48
net44,11.48
_0545_,11.46
_0982_,11.455
_0649_,11.415
_0842_,11.415
_0130_,11.41
_0984_,11.375
_0667_,11.32
_0582_,11.3
_0525_,11.24
_0829_,11.2
_0512_,11.16
_0362_,11.115
_0132_,11.085
_0049_,11.04
_0938_,11.035
load,11.02
s_in,11.02
_0910_,10.995
_0954_,10.945
_0679_,10.92
_0987_,10.915
d2.r_reg\[23\],10.895
_0610_,10.875
_0691_,10.86
_0502_,10.83
_0002_,10.795
_0400_,10.695
_0617_,10.68
_0590_,10.64
_0924_,10.64
_0062_,10.625
_0366_,10.615
_0476_,10.615
_0037_,10.585
_0114_,10.55
_0914_,10.495
_0933_,10.495
_0300_,10.46
_0431_,10.46
d5.mux01.out\[6\],10.46
_0819_,10.44
d2.r_reg\[11\],10.435
_0044_,10.39
_0862_,10.34
vbias2[0],10.34
_0620_,10.335
_0689_,10.32
_0988_,10.29
_0364_,10.275
d5.fll_core.corner_tmp\[1\],10.26
_0592_,10.195
_0755_,10.17
_0456_,10.155
_0337_,10.115
_0475_,10.08
_0440_,10.075
_0565_,10.075
_0708_,10.075
_0344_,10.06
_0427_,10.06
_0269_,10
_0348_,10
_0448_,10
_0671_,9.98
_0393_,9.9
_0971_,9.895
_0840_,9.88
_0180_,9.845
_0963_,9.8
_0948_,9.75
_0172_,9.67
_0974_,9.655
_0193_,9.64
_0543_,9.62
_0562_,9.615
_0668_,9.61
vbias3[0],9.605
_0670_,9.575
_0813_,9.575
_0909_,9.575
d2.t_load\[93\],9.575
_0953_,9.5
_0656_,9.495
_0866_,9.48
_0391_,9.455
s_out,9.42
_0169_,9.39
_0345_,9.355
_0584_,9.355
_0109_,9.29
_0143_,9.21
_0310_,9.195
_0546_,9.195
_0950_,9.185
_0101_,9.18
_0883_,9.175
vbias1[0],9.145
_0723_,9.115
_0313_,9.1
_0535_,9.075
_0644_,9.075
_0694_,9.075
_0839_,9.075
_0843_,9.04
_0712_,9.035
_0871_,8.96
_0504_,8.94
dac[0],8.935
dac[1],8.935
dac[2],8.935
dac[5],8.935
_0368_,8.92
d5.mux01.out\[8\],8.9
_0243_,8.89
_0395_,8.855
_0231_,8.825
_0295_,8.815
_0625_,8.815
_0451_,8.775
_0171_,8.765
_0403_,8.74
dac[7],8.72
net46,8.72
_0201_,8.71
_0863_,8.695
_0756_,8.655
_0555_,8.615
_0601_,8.615
d2.t_load\[42\],8.61
_0059_,8.59
_0810_,8.56
_0622_,8.555
_0642_,8.555
_0804_,8.52
_0387_,8.5
_0752_,8.5
vbias2[7],8.5
_0291_,8.495
_0425_,8.495
_0487_,8.495
slope_ctrl[1],8.465
_0158_,8.4
_0266_,8.355
_0849_,8.355
_0293_,8.315
_0350_,8.315
_0570_,8.315
_0665_,8.315
_0678_,8.315
_0116_,8.28
_0498_,8.235
_0681_,8.235
_0931_,8.235
_0449_,8.215
_0692_,8.195
_0805_,8.195
_0599_,8.155
_0447_,8.14
_0700_,8.14
_0868_,8.14
_0532_,8.135
_0821_,8.1
_0521_,8.055
_0567_,8.055
_0598_,8.055
vbias2[5],8.04
vbias2[6],8.04
_0797_,8.02
